CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
CHLD 223434 30.015625 1673151210.5851
CHLD 223435 30.117188 1673151210.5852
CHLD 223436 30.117188 1673151210.5852
CHLD 223437 30.117188 1673151210.5853
MEM 37.851562 1673151210.6862
CHLD 223434 30.015625 1673151210.7017
CHLD 223435 30.117188 1673151210.7018
CHLD 223436 30.117188 1673151210.7018
CHLD 223437 30.117188 1673151210.7019
MEM 37.851562 1673151210.8028
CHLD 223434 30.015625 1673151210.8184
CHLD 223435 30.117188 1673151210.8185
CHLD 223436 30.117188 1673151210.8185
CHLD 223437 30.117188 1673151210.8186
MEM 37.851562 1673151210.9192
CHLD 223434 30.015625 1673151210.9329
CHLD 223435 30.117188 1673151210.9330
CHLD 223436 30.117188 1673151210.9330
CHLD 223437 30.117188 1673151210.9330
MEM 37.851562 1673151211.0336
CHLD 223434 30.015625 1673151211.0413
CHLD 223435 30.117188 1673151211.0413
CHLD 223436 30.117188 1673151211.0414
CHLD 223437 30.117188 1673151211.0414
MEM 37.851562 1673151211.1420
CHLD 223434 30.015625 1673151211.1488
CHLD 223435 30.117188 1673151211.1488
CHLD 223436 30.117188 1673151211.1488
CHLD 223437 30.117188 1673151211.1488
MEM 37.851562 1673151211.2494
CHLD 223434 30.015625 1673151211.2562
CHLD 223435 30.117188 1673151211.2563
CHLD 223436 30.117188 1673151211.2563
CHLD 223437 30.117188 1673151211.2563
MEM 37.851562 1673151211.3569
CHLD 223434 30.015625 1673151211.3639
CHLD 223435 30.117188 1673151211.3639
CHLD 223436 30.117188 1673151211.3640
CHLD 223437 30.117188 1673151211.3640
MEM 37.851562 1673151211.4646
CHLD 223434 30.015625 1673151211.4728
CHLD 223435 30.117188 1673151211.4728
CHLD 223436 30.117188 1673151211.4729
CHLD 223437 30.117188 1673151211.4729
MEM 37.851562 1673151211.5735
CHLD 223434 30.015625 1673151211.5887
CHLD 223435 30.117188 1673151211.5887
CHLD 223436 30.117188 1673151211.5888
CHLD 223437 30.117188 1673151211.5888
MEM 37.851562 1673151211.6894
CHLD 223434 30.015625 1673151211.7046
CHLD 223435 30.117188 1673151211.7047
CHLD 223436 30.117188 1673151211.7047
CHLD 223437 30.117188 1673151211.7048
MEM 37.851562 1673151211.8053
CHLD 223434 30.015625 1673151211.8123
CHLD 223435 30.117188 1673151211.8123
CHLD 223436 30.117188 1673151211.8123
CHLD 223437 30.117188 1673151211.8124
MEM 37.851562 1673151211.9131
CHLD 223434 30.015625 1673151211.9274
CHLD 223435 30.117188 1673151211.9274
CHLD 223436 30.117188 1673151211.9275
CHLD 223437 30.117188 1673151211.9275
MEM 37.851562 1673151212.0282
CHLD 223434 30.015625 1673151212.0437
CHLD 223435 30.117188 1673151212.0437
CHLD 223436 30.117188 1673151212.0438
CHLD 223437 30.117188 1673151212.0438
MEM 37.851562 1673151212.1448
CHLD 223434 30.015625 1673151212.1601
CHLD 223435 30.117188 1673151212.1601
CHLD 223436 30.117188 1673151212.1602
CHLD 223437 30.117188 1673151212.1602
MEM 37.851562 1673151212.2609
CHLD 223434 30.015625 1673151212.2761
CHLD 223435 30.117188 1673151212.2762
CHLD 223436 30.117188 1673151212.2762
CHLD 223437 30.117188 1673151212.2763
MEM 37.851562 1673151212.3772
CHLD 223434 30.015625 1673151212.3923
CHLD 223435 30.117188 1673151212.3923
CHLD 223436 30.117188 1673151212.3924
CHLD 223437 30.117188 1673151212.3924
MEM 37.851562 1673151212.4934
CHLD 223434 30.015625 1673151212.5087
CHLD 223435 30.117188 1673151212.5087
CHLD 223436 30.117188 1673151212.5088
CHLD 223437 30.117188 1673151212.5088
MEM 37.851562 1673151212.6098
CHLD 223434 30.015625 1673151212.6254
CHLD 223435 30.117188 1673151212.6255
CHLD 223436 30.117188 1673151212.6256
CHLD 223437 30.117188 1673151212.6256
MEM 37.851562 1673151212.7263
CHLD 223434 30.015625 1673151212.7419
CHLD 223435 30.117188 1673151212.7420
CHLD 223436 30.117188 1673151212.7420
CHLD 223437 30.117188 1673151212.7421
MEM 37.851562 1673151212.8427
CHLD 223434 30.015625 1673151212.8580
CHLD 223435 30.117188 1673151212.8580
CHLD 223436 30.117188 1673151212.8581
CHLD 223437 30.117188 1673151212.8581
MEM 37.851562 1673151212.9591
CHLD 223434 30.015625 1673151212.9747
CHLD 223435 30.117188 1673151212.9747
CHLD 223436 30.117188 1673151212.9748
CHLD 223437 30.117188 1673151212.9748
MEM 37.851562 1673151213.0758
CHLD 223434 30.015625 1673151213.0907
CHLD 223435 30.117188 1673151213.0907
CHLD 223436 30.117188 1673151213.0908
CHLD 223437 30.117188 1673151213.0908
MEM 37.851562 1673151213.1914
CHLD 223434 30.015625 1673151213.2063
CHLD 223435 30.117188 1673151213.2064
CHLD 223436 30.117188 1673151213.2064
CHLD 223437 30.117188 1673151213.2064
MEM 37.851562 1673151213.3068
CHLD 223434 30.015625 1673151213.3142
CHLD 223435 30.117188 1673151213.3142
CHLD 223436 30.117188 1673151213.3143
CHLD 223437 30.117188 1673151213.3143
MEM 37.851562 1673151213.4149
CHLD 223434 30.015625 1673151213.4297
CHLD 223435 30.117188 1673151213.4298
CHLD 223436 30.117188 1673151213.4298
CHLD 223437 30.117188 1673151213.4298
MEM 37.851562 1673151213.5303
CHLD 223434 30.015625 1673151213.5457
CHLD 223435 30.117188 1673151213.5458
CHLD 223436 30.117188 1673151213.5458
CHLD 223437 30.117188 1673151213.5459
MEM 37.851562 1673151213.6466
CHLD 223434 30.015625 1673151213.6533
